OUTPUT:
Godzilla, ATT:200, DEF:220, HP:500, LVL:0
[0] Infantry, ATT:45, DEF:0, HP:68, LVL:0
[1] Infantry, ATT:45, DEF:0, HP:97, LVL:1
[2] Infantry, ATT:45, DEF:0, HP:76, LVL:1
[3] Helicopter, ATT:55, DEF:40, HP:50, LVL:0
[4] Fighter, ATT:110, DEF:110, HP:54, LVL:0
[5] Helicopter, ATT:55, DEF:40, HP:55, LVL:2
[6] Infantry, ATT:45, DEF:0, HP:81, LVL:5
[7] Fighter, ATT:110, DEF:110, HP:53, LVL:5
[8] Artillery, ATT:75, DEF:70, HP:70, LVL:8

Godzilla => 136 => [3] Helicopter
[0] Infantry => 5 => Godzilla
[1] Infantry => 7 => Godzilla
[2] Infantry => 8 => Godzilla
[4] Fighter => 11 => Godzilla
[5] Helicopter => 9 => Godzilla
[6] Infantry => 13 => Godzilla
[7] Fighter => 10 => Godzilla
[8] Artillery => 14 => Godzilla

Godzilla, ATT:200, DEF:220, HP:423, LVL:1
[0] Infantry, ATT:45, DEF:0, HP:68, LVL:0
[1] Infantry, ATT:45, DEF:0, HP:97, LVL:1
[2] Infantry, ATT:45, DEF:0, HP:76, LVL:1
[3] Helicopter, ATT:55, DEF:40, HP:-86, LVL:0
[4] Fighter, ATT:110, DEF:110, HP:54, LVL:0
[5] Helicopter, ATT:55, DEF:40, HP:55, LVL:2
[6] Infantry, ATT:45, DEF:0, HP:81, LVL:5
[7] Fighter, ATT:110, DEF:110, HP:53, LVL:5
[8] Artillery, ATT:75, DEF:70, HP:70, LVL:8

Godzilla => 65 => [7] Fighter
[0] Infantry => 8 => Godzilla
[1] Infantry => 9 => Godzilla
[2] Infantry => 7 => Godzilla
[4] Fighter => 16 => Godzilla
[5] Helicopter => 10 => Godzilla
[6] Infantry => 15 => Godzilla
[8] Artillery => 22 => Godzilla

Godzilla, ATT:200, DEF:220, HP:336, LVL:2
[0] Infantry, ATT:45, DEF:0, HP:68, LVL:0
[1] Infantry, ATT:45, DEF:0, HP:97, LVL:1
[2] Infantry, ATT:45, DEF:0, HP:76, LVL:1
[3] Helicopter, ATT:55, DEF:40, HP:-86, LVL:0
[4] Fighter, ATT:110, DEF:110, HP:54, LVL:0
[5] Helicopter, ATT:55, DEF:40, HP:55, LVL:2
[6] Infantry, ATT:45, DEF:0, HP:81, LVL:5
[7] Fighter, ATT:110, DEF:110, HP:-12, LVL:5
[8] Artillery, ATT:75, DEF:70, HP:70, LVL:8

Godzilla => 56 => [4] Fighter
[0] Infantry => 10 => Godzilla
[1] Infantry => 11 => Godzilla
[2] Infantry => 11 => Godzilla
[5] Helicopter => 12 => Godzilla
[6] Infantry => 16 => Godzilla
[8] Artillery => 13 => Godzilla

Godzilla, ATT:200, DEF:220, HP:263, LVL:3
[0] Infantry, ATT:45, DEF:0, HP:68, LVL:0
[1] Infantry, ATT:45, DEF:0, HP:97, LVL:1
[2] Infantry, ATT:45, DEF:0, HP:76, LVL:1
[3] Helicopter, ATT:55, DEF:40, HP:-86, LVL:0
[4] Fighter, ATT:110, DEF:110, HP:-2, LVL:0
[5] Helicopter, ATT:55, DEF:40, HP:55, LVL:2
[6] Infantry, ATT:45, DEF:0, HP:81, LVL:5
[7] Fighter, ATT:110, DEF:110, HP:-12, LVL:5
[8] Artillery, ATT:75, DEF:70, HP:70, LVL:8

Godzilla => 65 => [5] Helicopter
[0] Infantry => 10 => Godzilla
[1] Infantry => 10 => Godzilla
[2] Infantry => 11 => Godzilla
[6] Infantry => 10 => Godzilla
[8] Artillery => 19 => Godzilla

Godzilla, ATT:200, DEF:220, HP:203, LVL:4
[0] Infantry, ATT:45, DEF:0, HP:68, LVL:0
[1] Infantry, ATT:45, DEF:0, HP:97, LVL:1
[2] Infantry, ATT:45, DEF:0, HP:76, LVL:1
[3] Helicopter, ATT:55, DEF:40, HP:-86, LVL:0
[4] Fighter, ATT:110, DEF:110, HP:-2, LVL:0
[5] Helicopter, ATT:55, DEF:40, HP:-10, LVL:2
[6] Infantry, ATT:45, DEF:0, HP:81, LVL:5
[7] Fighter, ATT:110, DEF:110, HP:-12, LVL:5
[8] Artillery, ATT:75, DEF:70, HP:70, LVL:8

Godzilla => 84 => [0] Infantry
[1] Infantry => 10 => Godzilla
[2] Infantry => 9 => Godzilla
[6] Infantry => 13 => Godzilla
[8] Artillery => 19 => Godzilla

Godzilla, ATT:200, DEF:220, HP:152, LVL:5
[0] Infantry, ATT:45, DEF:0, HP:-16, LVL:0
[1] Infantry, ATT:45, DEF:0, HP:97, LVL:1
[2] Infantry, ATT:45, DEF:0, HP:76, LVL:1
[3] Helicopter, ATT:55, DEF:40, HP:-86, LVL:0
[4] Fighter, ATT:110, DEF:110, HP:-2, LVL:0
[5] Helicopter, ATT:55, DEF:40, HP:-10, LVL:2
[6] Infantry, ATT:45, DEF:0, HP:81, LVL:5
[7] Fighter, ATT:110, DEF:110, HP:-12, LVL:5
[8] Artillery, ATT:75, DEF:70, HP:70, LVL:8

Godzilla => 55 => [8] Artillery
[1] Infantry => 11 => Godzilla
[2] Infantry => 13 => Godzilla
[6] Infantry => 17 => Godzilla
[8] Artillery => 17 => Godzilla

Godzilla, ATT:200, DEF:220, HP:94, LVL:6
[0] Infantry, ATT:45, DEF:0, HP:-16, LVL:0
[1] Infantry, ATT:45, DEF:0, HP:97, LVL:1
[2] Infantry, ATT:45, DEF:0, HP:76, LVL:1
[3] Helicopter, ATT:55, DEF:40, HP:-86, LVL:0
[4] Fighter, ATT:110, DEF:110, HP:-2, LVL:0
[5] Helicopter, ATT:55, DEF:40, HP:-10, LVL:2
[6] Infantry, ATT:45, DEF:0, HP:81, LVL:5
[7] Fighter, ATT:110, DEF:110, HP:-12, LVL:5
[8] Artillery, ATT:75, DEF:70, HP:15, LVL:8

Godzilla => 60 => [8] Artillery
[1] Infantry => 14 => Godzilla
[2] Infantry => 13 => Godzilla
[6] Infantry => 15 => Godzilla

Godzilla, ATT:200, DEF:220, HP:52, LVL:7
[0] Infantry, ATT:45, DEF:0, HP:-16, LVL:0
[1] Infantry, ATT:45, DEF:0, HP:97, LVL:1
[2] Infantry, ATT:45, DEF:0, HP:76, LVL:1
[3] Helicopter, ATT:55, DEF:40, HP:-86, LVL:0
[4] Fighter, ATT:110, DEF:110, HP:-2, LVL:0
[5] Helicopter, ATT:55, DEF:40, HP:-10, LVL:2
[6] Infantry, ATT:45, DEF:0, HP:81, LVL:5
[7] Fighter, ATT:110, DEF:110, HP:-12, LVL:5
[8] Artillery, ATT:75, DEF:70, HP:-45, LVL:8

Godzilla => 96 => [2] Infantry
[1] Infantry => 16 => Godzilla
[6] Infantry => 12 => Godzilla

Godzilla, ATT:200, DEF:220, HP:24, LVL:8
[0] Infantry, ATT:45, DEF:0, HP:-16, LVL:0
[1] Infantry, ATT:45, DEF:0, HP:97, LVL:1
[2] Infantry, ATT:45, DEF:0, HP:-20, LVL:1
[3] Helicopter, ATT:55, DEF:40, HP:-86, LVL:0
[4] Fighter, ATT:110, DEF:110, HP:-2, LVL:0
[5] Helicopter, ATT:55, DEF:40, HP:-10, LVL:2
[6] Infantry, ATT:45, DEF:0, HP:81, LVL:5
[7] Fighter, ATT:110, DEF:110, HP:-12, LVL:5
[8] Artillery, ATT:75, DEF:70, HP:-45, LVL:8

Godzilla => 88 => [6] Infantry
[1] Infantry => 13 => Godzilla

Godzilla, ATT:200, DEF:220, HP:11, LVL:9
[0] Infantry, ATT:45, DEF:0, HP:-16, LVL:0
[1] Infantry, ATT:45, DEF:0, HP:97, LVL:1
[2] Infantry, ATT:45, DEF:0, HP:-20, LVL:1
[3] Helicopter, ATT:55, DEF:40, HP:-86, LVL:0
[4] Fighter, ATT:110, DEF:110, HP:-2, LVL:0
[5] Helicopter, ATT:55, DEF:40, HP:-10, LVL:2
[6] Infantry, ATT:45, DEF:0, HP:-7, LVL:5
[7] Fighter, ATT:110, DEF:110, HP:-12, LVL:5
[8] Artillery, ATT:75, DEF:70, HP:-45, LVL:8

Godzilla => 97 => [1] Infantry

Godzilla, ATT:200, DEF:220, HP:11, LVL:10
[0] Infantry, ATT:45, DEF:0, HP:-16, LVL:0
[1] Infantry, ATT:45, DEF:0, HP:0, LVL:1
[2] Infantry, ATT:45, DEF:0, HP:-20, LVL:1
[3] Helicopter, ATT:55, DEF:40, HP:-86, LVL:0
[4] Fighter, ATT:110, DEF:110, HP:-2, LVL:0
[5] Helicopter, ATT:55, DEF:40, HP:-10, LVL:2
[6] Infantry, ATT:45, DEF:0, HP:-7, LVL:5
[7] Fighter, ATT:110, DEF:110, HP:-12, LVL:5
[8] Artillery, ATT:75, DEF:70, HP:-45, LVL:8

Winner: Godzilla
Total monster DMG: 802
Total enemies DMG: 489
--------------------------------------------------
EXPECTED:
Godzilla, ATT:200, DEF:220, HP:500, LVL:0
[0] Infantry, ATT:45, DEF:0, HP:68, LVL:0
[1] Infantry, ATT:45, DEF:0, HP:97, LVL:1
[2] Infantry, ATT:45, DEF:0, HP:76, LVL:1
[3] Helicopter, ATT:55, DEF:40, HP:50, LVL:0
[4] Fighter, ATT:110, DEF:110, HP:54, LVL:0
[5] Helicopter, ATT:55, DEF:40, HP:55, LVL:2
[6] Infantry, ATT:45, DEF:0, HP:81, LVL:5
[7] Fighter, ATT:110, DEF:110, HP:53, LVL:5
[8] Artillery, ATT:75, DEF:70, HP:70, LVL:8

Godzilla => 136 => [3] Helicopter
[0] Infantry => 5 => Godzilla
[1] Infantry => 7 => Godzilla
[2] Infantry => 8 => Godzilla
[4] Fighter => 11 => Godzilla
[5] Helicopter => 9 => Godzilla
[6] Infantry => 13 => Godzilla
[7] Fighter => 10 => Godzilla
[8] Artillery => 14 => Godzilla

Godzilla, ATT:200, DEF:220, HP:423, LVL:1
[0] Infantry, ATT:45, DEF:0, HP:68, LVL:0
[1] Infantry, ATT:45, DEF:0, HP:97, LVL:1
[2] Infantry, ATT:45, DEF:0, HP:76, LVL:1
[3] Helicopter, ATT:55, DEF:40, HP:-86, LVL:0
[4] Fighter, ATT:110, DEF:110, HP:54, LVL:0
[5] Helicopter, ATT:55, DEF:40, HP:55, LVL:2
[6] Infantry, ATT:45, DEF:0, HP:81, LVL:5
[7] Fighter, ATT:110, DEF:110, HP:53, LVL:5
[8] Artillery, ATT:75, DEF:70, HP:70, LVL:8

Godzilla => 65 => [7] Fighter
[0] Infantry => 8 => Godzilla
[1] Infantry => 9 => Godzilla
[2] Infantry => 7 => Godzilla
[4] Fighter => 16 => Godzilla
[5] Helicopter => 10 => Godzilla
[6] Infantry => 15 => Godzilla
[8] Artillery => 22 => Godzilla

Godzilla, ATT:200, DEF:220, HP:336, LVL:2
[0] Infantry, ATT:45, DEF:0, HP:68, LVL:0
[1] Infantry, ATT:45, DEF:0, HP:97, LVL:1
[2] Infantry, ATT:45, DEF:0, HP:76, LVL:1
[3] Helicopter, ATT:55, DEF:40, HP:-86, LVL:0
[4] Fighter, ATT:110, DEF:110, HP:54, LVL:0
[5] Helicopter, ATT:55, DEF:40, HP:55, LVL:2
[6] Infantry, ATT:45, DEF:0, HP:81, LVL:5
[7] Fighter, ATT:110, DEF:110, HP:-12, LVL:5
[8] Artillery, ATT:75, DEF:70, HP:70, LVL:8

Godzilla => 56 => [4] Fighter
[0] Infantry => 10 => Godzilla
[1] Infantry => 11 => Godzilla
[2] Infantry => 11 => Godzilla
[5] Helicopter => 12 => Godzilla
[6] Infantry => 16 => Godzilla
[8] Artillery => 13 => Godzilla

Godzilla, ATT:200, DEF:220, HP:263, LVL:3
[0] Infantry, ATT:45, DEF:0, HP:68, LVL:0
[1] Infantry, ATT:45, DEF:0, HP:97, LVL:1
[2] Infantry, ATT:45, DEF:0, HP:76, LVL:1
[3] Helicopter, ATT:55, DEF:40, HP:-86, LVL:0
[4] Fighter, ATT:110, DEF:110, HP:-2, LVL:0
[5] Helicopter, ATT:55, DEF:40, HP:55, LVL:2
[6] Infantry, ATT:45, DEF:0, HP:81, LVL:5
[7] Fighter, ATT:110, DEF:110, HP:-12, LVL:5
[8] Artillery, ATT:75, DEF:70, HP:70, LVL:8

Godzilla => 65 => [5] Helicopter
[0] Infantry => 10 => Godzilla
[1] Infantry => 10 => Godzilla
[2] Infantry => 11 => Godzilla
[6] Infantry => 10 => Godzilla
[8] Artillery => 19 => Godzilla

Godzilla, ATT:200, DEF:220, HP:203, LVL:4
[0] Infantry, ATT:45, DEF:0, HP:68, LVL:0
[1] Infantry, ATT:45, DEF:0, HP:97, LVL:1
[2] Infantry, ATT:45, DEF:0, HP:76, LVL:1
