OUTPUT:
Godzilla, ATT:200, DEF:220, HP:500, LVL:0
[0] Artillery, ATT:75, DEF:70, HP:79, LVL:10
[1] Infantry, ATT:45, DEF:0, HP:60, LVL:3
[2] Submarine, ATT:105, DEF:65, HP:67, LVL:10
[3] Bomber, ATT:120, DEF:100, HP:67, LVL:6
[4] Submarine, ATT:105, DEF:65, HP:98, LVL:8
[5] Helicopter, ATT:55, DEF:40, HP:74, LVL:5
[6] Tank, ATT:65, DEF:100, HP:56, LVL:9
[7] Artillery, ATT:75, DEF:70, HP:60, LVL:5
[8] Tank, ATT:65, DEF:100, HP:84, LVL:7
[9] Infantry, ATT:45, DEF:0, HP:55, LVL:3
[10] Tank, ATT:65, DEF:100, HP:71, LVL:10
[11] Artillery, ATT:75, DEF:70, HP:60, LVL:7
[12] Cruiser, ATT:100, DEF:75, HP:86, LVL:7
[13] Infantry, ATT:45, DEF:0, HP:57, LVL:0
[14] Submarine, ATT:105, DEF:65, HP:83, LVL:10
[15] Cruiser, ATT:100, DEF:75, HP:85, LVL:4
[16] Artillery, ATT:75, DEF:70, HP:77, LVL:7
[17] Tank, ATT:65, DEF:100, HP:78, LVL:0

Godzilla => 106 => [9] Infantry
[0] Artillery => 21 => Godzilla
[1] Infantry => 10 => Godzilla
[2] Submarine => 14 => Godzilla
[3] Bomber => 18 => Godzilla
[4] Submarine => 18 => Godzilla
[5] Helicopter => 10 => Godzilla
[6] Tank => 12 => Godzilla
[7] Artillery => 11 => Godzilla
[8] Tank => 13 => Godzilla
[10] Tank => 15 => Godzilla
[11] Artillery => 17 => Godzilla
[12] Cruiser => 18 => Godzilla
[13] Infantry => 9 => Godzilla
[14] Submarine => 30 => Godzilla
[15] Cruiser => 15 => Godzilla
[16] Artillery => 13 => Godzilla
[17] Tank => 10 => Godzilla

Godzilla, ATT:200, DEF:220, HP:246, LVL:1
[0] Artillery, ATT:75, DEF:70, HP:79, LVL:10
[1] Infantry, ATT:45, DEF:0, HP:60, LVL:3
[2] Submarine, ATT:105, DEF:65, HP:67, LVL:10
[3] Bomber, ATT:120, DEF:100, HP:67, LVL:6
[4] Submarine, ATT:105, DEF:65, HP:98, LVL:8
[5] Helicopter, ATT:55, DEF:40, HP:74, LVL:5
[6] Tank, ATT:65, DEF:100, HP:56, LVL:9
[7] Artillery, ATT:75, DEF:70, HP:60, LVL:5
[8] Tank, ATT:65, DEF:100, HP:84, LVL:7
[9] Infantry, ATT:45, DEF:0, HP:-51, LVL:3
[10] Tank, ATT:65, DEF:100, HP:71, LVL:10
[11] Artillery, ATT:75, DEF:70, HP:60, LVL:7
[12] Cruiser, ATT:100, DEF:75, HP:86, LVL:7
[13] Infantry, ATT:45, DEF:0, HP:57, LVL:0
[14] Submarine, ATT:105, DEF:65, HP:83, LVL:10
[15] Cruiser, ATT:100, DEF:75, HP:85, LVL:4
[16] Artillery, ATT:75, DEF:70, HP:77, LVL:7
[17] Tank, ATT:65, DEF:100, HP:78, LVL:0

Godzilla => 48 => [6] Tank
[0] Artillery => 18 => Godzilla
[1] Infantry => 18 => Godzilla
[2] Submarine => 28 => Godzilla
[3] Bomber => 22 => Godzilla
[4] Submarine => 24 => Godzilla
[5] Helicopter => 18 => Godzilla
[6] Tank => 17 => Godzilla
[7] Artillery => 17 => Godzilla
[8] Tank => 20 => Godzilla
[10] Tank => 18 => Godzilla
[11] Artillery => 19 => Godzilla
[12] Cruiser => 28 => Godzilla

Godzilla, ATT:200, DEF:220, HP:-1, LVL:1
[0] Artillery, ATT:75, DEF:70, HP:79, LVL:10
[1] Infantry, ATT:45, DEF:0, HP:60, LVL:3
[2] Submarine, ATT:105, DEF:65, HP:67, LVL:10
[3] Bomber, ATT:120, DEF:100, HP:67, LVL:6
[4] Submarine, ATT:105, DEF:65, HP:98, LVL:8
[5] Helicopter, ATT:55, DEF:40, HP:74, LVL:5
[6] Tank, ATT:65, DEF:100, HP:8, LVL:9
[7] Artillery, ATT:75, DEF:70, HP:60, LVL:5
[8] Tank, ATT:65, DEF:100, HP:84, LVL:7
[9] Infantry, ATT:45, DEF:0, HP:-51, LVL:3
[10] Tank, ATT:65, DEF:100, HP:71, LVL:10
[11] Artillery, ATT:75, DEF:70, HP:60, LVL:7
[12] Cruiser, ATT:100, DEF:75, HP:86, LVL:7
[13] Infantry, ATT:45, DEF:0, HP:57, LVL:0
[14] Submarine, ATT:105, DEF:65, HP:83, LVL:10
[15] Cruiser, ATT:100, DEF:75, HP:85, LVL:4
[16] Artillery, ATT:75, DEF:70, HP:77, LVL:7
[17] Tank, ATT:65, DEF:100, HP:78, LVL:0

Winner: Enemy
Total monster DMG: 154
Total enemies DMG: 501
--------------------------------------------------
EXPECTED:
Godzilla, ATT:200, DEF:220, HP:500, LVL:0
[0] Artillery, ATT:75, DEF:70, HP:79, LVL:10
[1] Infantry, ATT:45, DEF:0, HP:60, LVL:3
[2] Submarine, ATT:105, DEF:65, HP:67, LVL:10
[3] Bomber, ATT:120, DEF:100, HP:67, LVL:6
[4] Submarine, ATT:105, DEF:65, HP:98, LVL:8
[5] Helicopter, ATT:55, DEF:40, HP:74, LVL:5
[6] Tank, ATT:65, DEF:100, HP:56, LVL:9
[7] Artillery, ATT:75, DEF:70, HP:60, LVL:5
[8] Tank, ATT:65, DEF:100, HP:84, LVL:7
[9] Infantry, ATT:45, DEF:0, HP:55, LVL:3
[10] Tank, ATT:65, DEF:100, HP:71, LVL:10
[11] Artillery, ATT:75, DEF:70, HP:60, LVL:7
[12] Cruiser, ATT:100, DEF:75, HP:86, LVL:7
[13] Infantry, ATT:45, DEF:0, HP:57, LVL:0
[14] Submarine, ATT:105, DEF:65, HP:83, LVL:10
[15] Cruiser, ATT:100, DEF:75, HP:85, LVL:4
[16] Artillery, ATT:75, DEF:70, HP:77, LVL:7
[17] Tank, ATT:65, DEF:100, HP:78, LVL:0

Godzilla => 106 => [9] Infantry
[0] Artillery => 21 => Godzilla
[1] Infantry => 10 => Godzilla
[2] Submarine => 14 => Godzilla
[3] Bomber => 18 => Godzilla
[4] Submarine => 18 => Godzilla
[5] Helicopter => 10 => Godzilla
[6] Tank => 12 => Godzilla
[7] Artillery => 11 => Godzilla
[8] Tank => 13 => Godzilla
[10] Tank => 15 => Godzilla
[11] Artillery => 17 => Godzilla
[12] Cruiser => 18 => Godzilla
[13] Infantry => 9 => Godzilla
[14] Submarine => 30 => Godzilla
[15] Cruiser => 15 => Godzilla
[16] Artillery => 13 => Godzilla
[17] Tank => 10 => Godzilla

Godzilla, ATT:200, DEF:220, HP:246, LVL:1
[0] Artillery, ATT:75, DEF:70, HP:79, LVL:10
[1] Infantry, ATT:45, DEF:0, HP:60, LVL:3
[2] Submarine, ATT:105, DEF:65, HP:67, LVL:10
[3] Bomber, ATT:120, DEF:100, HP:67, LVL:6
[4] Submarine, ATT:105, DEF:65, HP:98, LVL:8
[5] Helicopter, ATT:55, DEF:40, HP:74, LVL:5
[6] Tank, ATT:65, DEF:100, HP:56, LVL:9
[7] Artillery, ATT:75, DEF:70, HP:60, LVL:5
[8] Tank, ATT:65, DEF:100, HP:84, LVL:7
[9] Infantry, ATT:45, DEF:0, HP:-51, LVL:3
[10] Tank, ATT:65, DEF:100, HP:71, LVL:10
[11] Artillery, ATT:75, DEF:70, HP:60, LVL:7
[12] Cruiser, ATT:100, DEF:75, HP:86, LVL:7
[13] Infantry, ATT:45, DEF:0, HP:57, LVL:0
[14] Submarine, ATT:105, DEF:65, HP:83, LVL:10
[15] Cruiser, ATT:100, DEF:75, HP:85, LVL:4
[16] Artillery, ATT:75, DEF:70, HP:77, LVL:7
[17] Tank, ATT:65, DEF:100, HP:78, LVL:0

Godzilla => 48 => [6] Tank
[0] Artillery => 18 => Godzilla
[1] Infantry => 18 => Godzilla
[2] Submarine => 28 => Godzilla
[3] Bomber => 22 => Godzilla
[4] Submarine => 24 => Godzilla
[5] Helicopter => 18 => Godzilla
[6] Tank => 17 => Godzilla
[7] Artillery => 17 => Godzilla
[8] Tank => 20 => Godzilla
[10] Tank => 18 => Godzilla
[11] Artillery => 19 => Godzilla
[12] Cruiser => 28 => Godzilla

Godzilla, ATT:200, DEF:220, HP:-1, LVL:1
[0] Artillery, ATT:75, DEF:70, HP:79, LVL:10
[1] Infantry, ATT:45, DEF:0, HP:60, LVL:3
[2] Submarine, ATT:105, DEF:65, HP:67, LVL:10
[3] Bomber, ATT:120, DEF:100, HP:67, LVL:6
[4] Submarine, ATT:105, DEF:65, HP:98, LVL:8
[5] Helicopter, ATT:55, DEF:40, HP:74, LVL:5
[6] Tank, ATT:65, DEF:100, HP:8, LVL:9
[7] Artillery, ATT:75, DEF:70, HP:60, LVL:5
[8] Tank, ATT:65, DEF:100, HP:84, LVL:7
[9] Infantry, ATT:45, DEF:0, HP:-51, LVL:3
[10] Tank, ATT:65, DEF:100, HP:71, LVL:10
[11] Artillery, ATT:75, DEF:70, HP:60, LVL:7
[12] Cruiser, ATT:100, DEF:75, HP:86, LVL:7
[13] Infantry, ATT:45, DEF:0, HP:57, LVL:0
[14] Submarine, ATT:105, DEF:65, HP:83, LVL:10
[15] Cruiser, ATT:100, DEF:75, HP:85, LVL:4
[16] Artillery, ATT:75, DEF:70, HP:77, LVL:7
[17] Tank, ATT:65, DEF:100, HP:78, LVL:0

Winner: Enemy
Total monster DMG: 154
Total enemies DMG: 501
